cod_op_red,type_day,dates,predict
ORD1,SAB,2020-01-04 0:00,888537.3599
ORD1,SAB,2020-01-04 1:00,852480.132
ORD1,SAB,2020-01-04 2:00,833624.3927
ORD1,SAB,2020-01-04 3:00,837427.6646
ORD1,SAB,2020-01-04 4:00,874849.0001
ORD1,SAB,2020-01-04 5:00,928851.6097
ORD1,SAB,2020-01-04 6:00,991112.5927
ORD1,SAB,2020-01-04 7:00,1080188.923
ORD1,SAB,2020-01-04 8:00,1162521.553
ORD1,SAB,2020-01-04 9:00,1219295.844
ORD1,SAB,2020-01-04 10:00,1273391.196
ORD1,SAB,2020-01-04 11:00,1303458.519
ORD1,SAB,2020-01-04 12:00,1296017.168
ORD1,SAB,2020-01-04 13:00,1251429.632
ORD1,SAB,2020-01-04 14:00,1213663.56
ORD1,SAB,2020-01-04 15:00,1193793.664
ORD1,SAB,2020-01-04 16:00,1174767.327
ORD1,SAB,2020-01-04 17:00,1180839.323
ORD1,SAB,2020-01-04 18:00,1273590.293
ORD1,SAB,2020-01-04 19:00,1284711.311
ORD1,SAB,2020-01-04 20:00,1225321.22
ORD1,SAB,2020-01-04 21:00,1126202.079
ORD1,SAB,2020-01-04 22:00,1020686.051
ORD1,SAB,2020-01-04 23:00,930143.4537
ORD1,DOM,2020-01-05 0:00,798321.9473
ORD1,DOM,2020-01-05 1:00,757920.8729
ORD1,DOM,2020-01-05 2:00,734519.0773
ORD1,DOM,2020-01-05 3:00,722400.7619
ORD1,DOM,2020-01-05 4:00,727420.1944
ORD1,DOM,2020-01-05 5:00,734118.353
ORD1,DOM,2020-01-05 6:00,731126.54
ORD1,DOM,2020-01-05 7:00,804893.4481
ORD1,DOM,2020-01-05 8:00,897067.2806
ORD1,DOM,2020-01-05 9:00,958688.4407
ORD1,DOM,2020-01-05 10:00,1009400.24
ORD1,DOM,2020-01-05 11:00,1047597.908
ORD1,DOM,2020-01-05 12:00,1075454.043
ORD1,DOM,2020-01-05 13:00,1056017.232
ORD1,DOM,2020-01-05 14:00,1031571.935
ORD1,DOM,2020-01-05 15:00,1011107.646
ORD1,DOM,2020-01-05 16:00,1010126.951
ORD1,DOM,2020-01-05 17:00,1022750.09
ORD1,DOM,2020-01-05 18:00,1126947.167
ORD1,DOM,2020-01-05 19:00,1161366.468
ORD1,DOM,2020-01-05 20:00,1121251.237
ORD1,DOM,2020-01-05 21:00,1050752.081
ORD1,DOM,2020-01-05 22:00,962532.2034
ORD1,DOM,2020-01-05 23:00,886568.0743
ORD1,FESTIVO,2020-01-06 0:00,657061.8941
ORD1,FESTIVO,2020-01-06 1:00,633452.5291
ORD1,FESTIVO,2020-01-06 2:00,603330.0855
ORD1,FESTIVO,2020-01-06 3:00,583455.7217
ORD1,FESTIVO,2020-01-06 4:00,620258.2897
ORD1,FESTIVO,2020-01-06 5:00,639244.2205
ORD1,FESTIVO,2020-01-06 6:00,643515.839
ORD1,FESTIVO,2020-01-06 7:00,690938.6523
ORD1,FESTIVO,2020-01-06 8:00,754265.0546
ORD1,FESTIVO,2020-01-06 9:00,813265.1322
ORD1,FESTIVO,2020-01-06 10:00,853882.6398
ORD1,FESTIVO,2020-01-06 11:00,894008.6726
ORD1,FESTIVO,2020-01-06 12:00,913059.4806
ORD1,FESTIVO,2020-01-06 13:00,902910.9942
ORD1,FESTIVO,2020-01-06 14:00,868795.4046
ORD1,FESTIVO,2020-01-06 15:00,842953.1007
ORD1,FESTIVO,2020-01-06 16:00,831929.7962
ORD1,FESTIVO,2020-01-06 17:00,862184.3622
ORD1,FESTIVO,2020-01-06 18:00,972723.0343
ORD1,FESTIVO,2020-01-06 19:00,1034544.45
ORD1,FESTIVO,2020-01-06 20:00,963584.2254
ORD1,FESTIVO,2020-01-06 21:00,880809.3534
ORD1,FESTIVO,2020-01-06 22:00,802924.1288
ORD1,FESTIVO,2020-01-06 23:00,747520.82
ORD1,ORD,2020-01-07 0:00,831614.5873
ORD1,ORD,2020-01-07 1:00,789471.4155
ORD1,ORD,2020-01-07 2:00,779434.5084
ORD1,ORD,2020-01-07 3:00,793010.8072
ORD1,ORD,2020-01-07 4:00,841349.516
ORD1,ORD,2020-01-07 5:00,949478.6371
ORD1,ORD,2020-01-07 6:00,1034976.511
ORD1,ORD,2020-01-07 7:00,1108140.975
ORD1,ORD,2020-01-07 8:00,1170287.865
ORD1,ORD,2020-01-07 9:00,1221148.137
ORD1,ORD,2020-01-07 10:00,1271370.747
ORD1,ORD,2020-01-07 11:00,1305293.086
ORD1,ORD,2020-01-07 12:00,1305448.327
ORD1,ORD,2020-01-07 13:00,1289045.551
ORD1,ORD,2020-01-07 14:00,1304630.578
ORD1,ORD,2020-01-07 15:00,1305880.942
ORD1,ORD,2020-01-07 16:00,1285936.75
ORD1,ORD,2020-01-07 17:00,1273811.333
ORD1,ORD,2020-01-07 18:00,1336808.573
ORD1,ORD,2020-01-07 19:00,1338958.583
ORD1,ORD,2020-01-07 20:00,1280854.538
ORD1,ORD,2020-01-07 21:00,1165774.917
ORD1,ORD,2020-01-07 22:00,1045101.841
ORD1,ORD,2020-01-07 23:00,936455.004
ORD1,ORD,2020-01-08 0:00,841659.3928
ORD1,ORD,2020-01-08 1:00,806625.0042
ORD1,ORD,2020-01-08 2:00,780725.9003
ORD1,ORD,2020-01-08 3:00,804751.5291
ORD1,ORD,2020-01-08 4:00,872068.1464
ORD1,ORD,2020-01-08 5:00,988556.3298
ORD1,ORD,2020-01-08 6:00,1067609.673
ORD1,ORD,2020-01-08 7:00,1146025.636
ORD1,ORD,2020-01-08 8:00,1202565.527
ORD1,ORD,2020-01-08 9:00,1238626.096
ORD1,ORD,2020-01-08 10:00,1294939.953
ORD1,ORD,2020-01-08 11:00,1329714.165
ORD1,ORD,2020-01-08 12:00,1320880.329
ORD1,ORD,2020-01-08 13:00,1308638.926
ORD1,ORD,2020-01-08 14:00,1313983.379
ORD1,ORD,2020-01-08 15:00,1307272.429
ORD1,ORD,2020-01-08 16:00,1286023.568
ORD1,ORD,2020-01-08 17:00,1262912.251
ORD1,ORD,2020-01-08 18:00,1346458.631
ORD1,ORD,2020-01-08 19:00,1356904.432
ORD1,ORD,2020-01-08 20:00,1284919.907
ORD1,ORD,2020-01-08 21:00,1177992.162
ORD1,ORD,2020-01-08 22:00,1047138.544
ORD1,ORD,2020-01-08 23:00,946260.1513
ORD1,ORD,2020-01-09 0:00,858203.7045
ORD1,ORD,2020-01-09 1:00,813319.2365
ORD1,ORD,2020-01-09 2:00,791113.476
ORD1,ORD,2020-01-09 3:00,784576.1639
ORD1,ORD,2020-01-09 4:00,882889.771
ORD1,ORD,2020-01-09 5:00,999268.9513
ORD1,ORD,2020-01-09 6:00,1076986.024
ORD1,ORD,2020-01-09 7:00,1153056.253
ORD1,ORD,2020-01-09 8:00,1205662.854
ORD1,ORD,2020-01-09 9:00,1247424.947
ORD1,ORD,2020-01-09 10:00,1301903.739
ORD1,ORD,2020-01-09 11:00,1348897.836
ORD1,ORD,2020-01-09 12:00,1333702.235
ORD1,ORD,2020-01-09 13:00,1331004.275
ORD1,ORD,2020-01-09 14:00,1329757.909
ORD1,ORD,2020-01-09 15:00,1323310.74
ORD1,ORD,2020-01-09 16:00,1300839.989
ORD1,ORD,2020-01-09 17:00,1275054.032
ORD1,ORD,2020-01-09 18:00,1378695.356
ORD1,ORD,2020-01-09 19:00,1366159.664
ORD1,ORD,2020-01-09 20:00,1293240.094
ORD1,ORD,2020-01-09 21:00,1182075.689
ORD1,ORD,2020-01-09 22:00,1058304.153
ORD1,ORD,2020-01-09 23:00,955970.2111
ORD1,ORD,2020-01-10 0:00,865668.7328
ORD1,ORD,2020-01-10 1:00,824848.1065
ORD1,ORD,2020-01-10 2:00,803387.9343
